Star Wars Universe
Core,Central,Lead,,,,,,,
Inner,Colonies,Inner,,,,,,,
Mid,Expansion,Mid,,,,,,,
Outer Rim,Hutts,Free,,,,,,,
Corporate,Rich,Wealthy,,,,,,,
Religious,Jedi,Sith,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,
# Core,,,,,,,,,
TEAM,Core,Central,Upper Coruscant University,UCU,95,LCU,,,
TEAM,Core,Central,Galactic Senate Academy,GCA,45,KUAT,,,
TEAM,Core,Central,University of Corellia,UC,85,APU,,,
TEAM,Core,Central,Duro Tech University,DTU,35,AO,,,
TEAM,Core,Central,Chandrila Republic University,CRU,70,RFUB,,,
TEAM,Core,Central,Hosnian Prime University,HPU,40,UTF,,,
TEAM,Core,Central,Tangenine Collective U,TCU,60,NRI,,,
TEAM,Core,Lead,Lower Coruscant University,LCU,75,UCU,,,
TEAM,Core,Lead,Kuat Tech,KUAT,90,GCA,,,
TEAM,Core,Lead,Alderaan Planet U,APU,80,UC,,,
TEAM,Core,Lead,Anaxes Observatory,AO,40,DTU,,,
TEAM,Core,Lead,Republic Futures University at Brentaal,RFUB,85,CRU,,,
TEAM,Core,Lead,University of Tinnel IV,UTF,50,HPU,,,
TEAM,Core,Lead,N'Zoth Research Institute,NRI,50,TCU,,,
# Inner,,,,,,,,,
TEAM,Inner,Colonies,Nemoidia University,NU,50,MOR,,,
TEAM,Inner,Colonies,Fondor Tech,FT,88,BPU,,,
TEAM,Inner,Colonies,Cato Nemoidia University,CNU,40,USA,,,
TEAM,Inner,Colonies,University of Abednedo,UoA,45,JKU,,,
TEAM,Inner,Colonies,Nantoon Pirate University,NPU,75,YCU,,,
TEAM,Inner,Colonies,Balmorra System Collective,BSC,50,OPU,,,
TEAM,Inner,Colonies,Devaron College,DVC,60,TAU,,,
TEAM,Inner,Inner,Manaan Ocean Reasearch,MOR,95,NU,,,
TEAM,Inner,Inner,Bogdon Planet University,BPU,60,FT,,,
TEAM,Inner,Inner,Ubdurian Sentient Academy,USA,40,CNU,,,
TEAM,Inner,Inner,Jakku University,JKU,30,UoA,,,
TEAM,Inner,Inner,Yag'Dhul Confederate U,YCU,70,NPU,,,
TEAM,Inner,Inner,Onderon Planet University,OPU,80,BSC,,,
TEAM,Inner,Inner,Taanab University,TAU,70,DVC,,,
# Mid,,,,,,,,,
TEAM,Mid,Expansion,Mimban College,MC,65,MUI,,,
TEAM,Mid,Expansion,Umbara Confederate College,UCC,90,RNU,,,
TEAM,Mid,Expansion,Aquaris University,AQU,55,GSU,,,
TEAM,Mid,Expansion,Cartao Planet University,CPU,75,TSB,,,
TEAM,Mid,Expansion,Ring of Kafrene College,RKC,70,KWU,,,
TEAM,Mid,Expansion,Jedha Mining University,JMU,60,MT,,,
TEAM,Mid,Expansion,Toydaria Flight University,TFU,65,BIT,,,
TEAM,Mid,Mid,Maul University of Iridonia,MUI,95,MC,,,
TEAM,Mid,Mid,Royal Naboo University,RNU,90,UCC,,,
TEAM,Mid,Mid,Gungan State University,GSU,50,AQU,,,
TEAM,Mid,Mid,Takodana School of Bartending,TSB,90,CPU,,,
TEAM,Mid,Mid,Kashyyk Wookie U,KWU,80,RKC,,,
TEAM,Mid,Mid,Malastare Tech,MT,70,JMU,,,
TEAM,Mid,Mid,Bothawui Intelligence Training,BIT,72,TFU,,,
# Outer Rim,,,,,,,,,
TEAM,Outer Rim,Hutts,Nar Shaddaa Smuggler School,NSSS,95,MAN,,,
TEAM,Outer Rim,Hutts,Nal Hutta University,NHU,85,GU,,,
TEAM,Outer Rim,Hutts,Tatooine Trade School,TTS,55,MCT,,,
